,Nboot,NSim,N,AtoB,AtoC,BtoC,typeA,powIE,powTE,powDE,powa,powb
28,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-2.999999999999999889e-01,-1.000000000000000056e-01,1.000000000000000000e+00,1.390000000000000124e-01,1.000000000000000000e+00,9.809999999999999831e-01,9.579999999999999627e-01,1.260000000000000009e-01
29,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.999999999999999889e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.449999999999999900e-01,1.000000000000000000e+00,6.260000000000000009e-01,1.000000000000000000e+00,1.459999999999999909e-01
30,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-1.000000000000000056e-01,2.999999999999999889e-01,1.000000000000000000e+00,6.199999999999999956e-02,1.000000000000000000e+00,7.069999999999999618e-01,1.000000000000000000e+00,6.300000000000000044e-02
31,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-4.000000000000000222e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.100000000000000130e-02,1.690000000000000113e-01,9.900000000000000466e-02,1.179999999999999938e-01,1.650000000000000078e-01
32,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,2.000000000000000111e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.000000000000000042e-02,1.150000000000000050e-01,9.400000000000000022e-02,1.789999999999999925e-01,8.899999999999999578e-02
33,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,-1.000000000000000056e-01,-1.000000000000000056e-01,9.900000000000000000e+01,1.700000000000000122e-02,1.100000000000000006e-01,7.199999999999999456e-02,1.069999999999999979e-01,7.000000000000000666e-02
34,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,-2.000000000000000111e-01,2.000000000000000111e-01,9.900000000000000000e+01,1.499999999999999944e-02,1.239999999999999991e-01,7.900000000000000078e-02,1.219999999999999973e-01,8.899999999999999578e-02
35,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-4.000000000000000222e-01,-4.000000000000000222e-01,9.900000000000000000e+01,5.399999999999999939e-02,2.240000000000000047e-01,1.189999999999999947e-01,2.379999999999999893e-01,1.779999999999999916e-01
36,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,-1.000000000000000056e-01,-4.000000000000000222e-01,9.900000000000000000e+01,1.899999999999999953e-02,1.529999999999999971e-01,8.100000000000000255e-02,2.530000000000000027e-01,7.099999999999999367e-02
37,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,-1.000000000000000056e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.400000000000000050e-02,8.799999999999999489e-02,6.500000000000000222e-02,2.079999999999999905e-01,7.099999999999999367e-02
38,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.999999999999999889e-01,-2.000000000000000111e-01,9.900000000000000000e+01,2.400000000000000050e-02,1.729999999999999871e-01,1.000000000000000056e-01,1.310000000000000053e-01,1.340000000000000080e-01
39,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-4.000000000000000222e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.699999999999999969e-02,1.580000000000000016e-01,1.570000000000000007e-01,1.130000000000000032e-01,1.719999999999999862e-01
40,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-4.000000000000000222e-01,1.000000000000000056e-01,9.900000000000000000e+01,2.299999999999999961e-02,2.230000000000000038e-01,1.950000000000000067e-01,1.069999999999999979e-01,1.739999999999999880e-01
41,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,4.000000000000000222e-01,-4.000000000000000222e-01,9.900000000000000000e+01,4.599999999999999922e-02,2.159999999999999976e-01,2.449999999999999956e-01,2.560000000000000053e-01,1.719999999999999862e-01
42,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,-4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.500000000000000139e-02,8.599999999999999312e-02,5.600000000000000117e-02,1.630000000000000060e-01,1.519999999999999962e-01
43,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.449999999999999900e-01,1.000000000000000000e+00,9.859999999999999876e-01,9.709999999999999742e-01,1.340000000000000080e-01
44,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,2.999999999999999889e-01,1.000000000000000056e-01,9.900000000000000000e+01,1.299999999999999940e-02,9.099999999999999756e-02,5.299999999999999850e-02,1.000000000000000056e-01,1.250000000000000000e-01
45,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.880000000000000004e-01,1.000000000000000000e+00,9.929999999999999938e-01,9.639999999999999680e-01,1.809999999999999942e-01
46,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,2.999999999999999889e-01,-2.000000000000000111e-01,9.900000000000000000e+01,2.199999999999999872e-02,1.089999999999999997e-01,8.100000000000000255e-02,1.370000000000000107e-01,1.209999999999999964e-01
47,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-4.000000000000000222e-01,-2.000000000000000111e-01,9.900000000000000000e+01,3.599999999999999728e-02,1.710000000000000131e-01,9.099999999999999756e-02,1.479999999999999927e-01,1.600000000000000033e-01
48,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,1.000000000000000056e-01,2.999999999999999889e-01,9.900000000000000000e+01,1.400000000000000029e-02,1.439999999999999891e-01,1.310000000000000053e-01,1.630000000000000060e-01,7.599999999999999811e-02
49,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,-1.000000000000000056e-01,-2.000000000000000111e-01,9.900000000000000000e+01,1.499999999999999944e-02,9.199999999999999845e-02,7.299999999999999545e-02,1.459999999999999909e-01,7.199999999999999456e-02
50,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.999999999999999889e-01,-1.000000000000000056e-01,1.000000000000000000e+00,1.419999999999999873e-01,1.000000000000000000e+00,9.919999999999999929e-01,9.649999999999999689e-01,1.160000000000000059e-01
51,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,7.699999999999999900e-02,1.000000000000000000e+00,9.889999999999999902e-01,9.699999999999999734e-01,6.700000000000000400e-02
52,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,4.000000000000000222e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.099999999999999936e-02,9.400000000000000022e-02,6.600000000000000311e-02,8.100000000000000255e-02,1.690000000000000113e-01
53,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000000e+00,1.660000000000000087e-01,1.000000000000000000e+00,8.529999999999999805e-01,9.989999999999999991e-01,1.509999999999999953e-01
54,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.000000000000000111e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.999999999999999889e-02,1.449999999999999900e-01,7.799999999999999989e-02,2.069999999999999896e-01,9.299999999999999933e-02
55,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,0.000000000000000000e+00,-2.000000000000000111e-01,9.900000000000000000e+01,1.700000000000000122e-02,1.710000000000000131e-01,1.199999999999999956e-01,1.250000000000000000e-01,7.399999999999999634e-02
56,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-2.999999999999999889e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.599999999999999881e-02,1.769999999999999907e-01,9.600000000000000200e-02,1.640000000000000069e-01,1.360000000000000098e-01
57,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,4.100000000000000172e-02,1.039999999999999952e-01,7.499999999999999722e-02,1.980000000000000093e-01,1.819999999999999951e-01
58,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.000000000000000000e+00,1.439999999999999891e-01,1.000000000000000000e+00,7.209999999999999742e-01,1.000000000000000000e+00,1.350000000000000089e-01
59,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,1.000000000000000056e-01,2.999999999999999889e-01,1.000000000000000000e+00,7.599999999999999811e-02,1.000000000000000000e+00,6.450000000000000178e-01,1.000000000000000000e+00,7.099999999999999367e-02
60,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000056e-01,9.900000000000000000e+01,1.099999999999999936e-02,1.189999999999999947e-01,8.599999999999999312e-02,9.199999999999999845e-02,6.800000000000000488e-02
61,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,9.900000000000000000e+01,1.499999999999999944e-02,1.089999999999999997e-01,7.900000000000000078e-02,1.170000000000000068e-01,6.800000000000000488e-02
62,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.199999999999999872e-02,1.000000000000000000e+00,9.989999999999999991e-01,9.099999999999999756e-02,1.769999999999999907e-01
63,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,4.000000000000000222e-01,-2.999999999999999889e-01,1.000000000000000000e+00,1.690000000000000113e-01,1.000000000000000000e+00,5.240000000000000213e-01,1.000000000000000000e+00,1.600000000000000033e-01
64,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,1.499999999999999944e-02,1.250000000000000000e-01,8.500000000000000611e-02,1.079999999999999988e-01,1.170000000000000068e-01
65,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.900000000000000000e+01,1.299999999999999940e-02,7.299999999999999545e-02,4.200000000000000261e-02,1.779999999999999916e-01,6.500000000000000222e-02
66,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,8.300000000000000433e-02,1.000000000000000000e+00,9.769999999999999796e-01,9.639999999999999680e-01,7.799999999999999989e-02
67,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,0.000000000000000000e+00,-2.999999999999999889e-01,1.000000000000000000e+00,6.400000000000000133e-02,1.000000000000000000e+00,5.639999999999999458e-01,1.000000000000000000e+00,6.500000000000000222e-02
68,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000056e-01,9.900000000000000000e+01,7.000000000000000146e-03,8.300000000000000433e-02,7.299999999999999545e-02,8.799999999999999489e-02,6.700000000000000400e-02
69,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.299999999999999940e-02,7.599999999999999811e-02,6.600000000000000311e-02,8.300000000000000433e-02,1.219999999999999973e-01
70,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,0.000000000000000000e+00,2.999999999999999889e-01,9.900000000000000000e+01,1.600000000000000033e-02,1.829999999999999960e-01,1.140000000000000041e-01,1.759999999999999898e-01,5.899999999999999689e-02
71,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.800000000000000058e-02,1.160000000000000059e-01,6.500000000000000222e-02,2.409999999999999920e-01,8.899999999999999578e-02
72,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01,9.900000000000000000e+01,1.000000000000000021e-02,1.250000000000000000e-01,8.699999999999999400e-02,1.280000000000000027e-01,5.999999999999999778e-02
73,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.599999999999999881e-02,9.500000000000000111e-02,7.299999999999999545e-02,1.859999999999999987e-01,1.160000000000000059e-01
74,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,4.000000000000000222e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.900000000000000147e-02,1.769999999999999907e-01,1.000000000000000056e-01,1.209999999999999964e-01,1.809999999999999942e-01
75,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.800000000000000058e-02,1.839999999999999969e-01,9.400000000000000022e-02,2.280000000000000082e-01,8.400000000000000522e-02
76,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,1.000000000000000056e-01,9.900000000000000000e+01,1.000000000000000021e-02,2.489999999999999991e-01,1.580000000000000016e-01,9.600000000000000200e-02,1.150000000000000050e-01
77,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,2.999999999999999889e-01,9.900000000000000000e+01,2.500000000000000139e-02,2.300000000000000100e-01,1.310000000000000053e-01,1.729999999999999871e-01,1.179999999999999938e-01
78,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,3.099999999999999978e-02,2.280000000000000082e-01,1.100000000000000006e-01,2.389999999999999902e-01,8.200000000000000344e-02
79,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.199999999999999872e-02,1.000000000000000000e+00,9.949999999999999956e-01,1.019999999999999934e-01,1.789999999999999925e-01
80,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-1.000000000000000056e-01,-4.000000000000000222e-01,9.900000000000000000e+01,3.400000000000000244e-02,2.210000000000000020e-01,1.370000000000000107e-01,2.680000000000000160e-01,8.400000000000000522e-02
81,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,-4.000000000000000222e-01,9.900000000000000000e+01,1.400000000000000029e-02,1.000000000000000056e-01,7.699999999999999900e-02,2.349999999999999867e-01,5.700000000000000205e-02
82,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-4.000000000000000222e-01,-4.000000000000000222e-01,9.900000000000000000e+01,4.299999999999999656e-02,2.260000000000000064e-01,2.459999999999999964e-01,2.330000000000000127e-01,1.809999999999999942e-01
83,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,1.000000000000000021e-02,9.700000000000000289e-02,6.900000000000000577e-02,9.700000000000000289e-02,1.270000000000000018e-01
84,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,2.000000000000000111e-01,-2.000000000000000111e-01,9.900000000000000000e+01,1.700000000000000122e-02,1.739999999999999880e-01,1.549999999999999989e-01,1.239999999999999991e-01,9.500000000000000111e-02
85,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.500000000000000139e-02,1.310000000000000053e-01,1.059999999999999970e-01,2.310000000000000109e-01,1.000000000000000056e-01
86,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,4.000000000000000222e-01,-1.000000000000000056e-01,9.900000000000000000e+01,2.000000000000000042e-02,1.990000000000000102e-01,1.809999999999999942e-01,1.100000000000000006e-01,1.660000000000000087e-01
87,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.000000000000000111e-01,4.000000000000000222e-01,9.900000000000000000e+01,3.400000000000000244e-02,1.620000000000000051e-01,1.570000000000000007e-01,2.290000000000000091e-01,1.069999999999999979e-01
88,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-1.000000000000000056e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.000000000000000042e-02,2.500000000000000000e-01,1.610000000000000042e-01,1.739999999999999880e-01,6.500000000000000222e-02
89,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+01,1.400000000000000029e-02,7.799999999999999989e-02,5.700000000000000205e-02,9.800000000000000377e-02,6.300000000000000044e-02
90,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,2.500000000000000139e-02,2.469999999999999973e-01,1.700000000000000122e-01,1.039999999999999952e-01,1.320000000000000062e-01
91,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,3.599999999999999728e-02,2.369999999999999885e-01,2.200000000000000011e-01,1.940000000000000058e-01,1.620000000000000051e-01
92,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,9.900000000000000000e+01,1.400000000000000029e-02,1.290000000000000036e-01,9.600000000000000200e-02,1.209999999999999964e-01,8.200000000000000344e-02
93,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,4.200000000000000261e-02,1.719999999999999862e-01,1.759999999999999898e-01,1.789999999999999925e-01,1.819999999999999951e-01
